dialect,translation,(language/dialect)
mbom,mercy,(generic Ibibio)
mbom,pity,(generic Ibibio)
uduk,pity,(generic Ibibio)
uduk,sympathy,(generic Ibibio)
atata,real deep,(generic Ibibio)
ata,real,(generic Ibibio)
mia,beat,(generic Ibibio)
udobot,police,(generic Ibibio)
ufia,slap,(generic Ibibio)
ufia,fourth or fifth son,(generic Ibibio)
nyom ono mien okuk,i wish you give me money,(generic Ibibio)
nyom,i want,(generic Ibibio)
usung,door,(generic Ibibio)
usung,road,(generic Ibibio)
usung,way,(generic Ibibio)
usung,fufu,(generic Ibibio)
usung,thick,(generic Ibibio)
obong,lord,(generic Ibibio)
obong,ruler,(generic Ibibio)
obong,king,(generic Ibibio)
obong,chief,(generic Ibibio)
obong,shout,(generic Ibibio)
obong,mosquito,(generic Ibibio)
obong,cane,(generic Ibibio)
mme,or,(generic Ibibio)
ekong,war,(generic Ibibio)
ekong,hangers on,(generic Ibibio)
ekong,knockers,(generic Ibibio)
ekong,knackers,(generic Ibibio)
tim,beat,(generic Ibibio)
tim,pound,(generic Ibibio)
tim,keep well,(generic Ibibio)
kang,deny,(generic Ibibio)
kang,dry-heating,(generic Ibibio)
ukot,in-law,(generic Ibibio)
ukot,leg,(generic Ibibio)
demme,wake,(generic Ibibio)
deme,share,(generic Ibibio)
deme,ignore,(generic Ibibio)
deme,overlook,(generic Ibibio)
akpan,first son,(generic Ibibio)
akpan,loaded basket,(generic Ibibio)
ekpat,bag,(generic Ibibio)
ekpat,log,(generic Ibibio)
iyire,net,(generic Ibibio)
ukem,same,(generic Ibibio)
ukem,you are contented,(generic Ibibio)
okwok,bee,(generic Ibibio)
okwok,grater,(generic Ibibio)
okwok,sweeper,(generic Ibibio)
okok,chewing stick,(generic Ibibio)
okok,toothpick,(generic Ibibio)
okok,grinding,(generic Ibibio)
okok,vomiting,(generic Ibibio)
ofiong,moon,(generic Ibibio)
ofiong,month,(generic Ibibio)
ado,is,(generic Ibibio)
okpo,bone,(generic Ibibio)
okpo,rubber,(generic Ibibio)
okpo,plastic,(generic Ibibio)
abang,pot,(generic Ibibio)
abat,it is dirty,(generic Ibibio)
abat,counter,(generic Ibibio)
abat,thickened,(generic Ibibio)
ata,chew,(generic Ibibio)
ata,bet,(generic Ibibio)
ata,burn,(generic Ibibio)
ata,pro,(generic Ibibio)
ekpeme,guard,(generic Ibibio)
ekpeme,bottle,(generic Ibibio)
ekpe,lion,(generic Ibibio)
ekpe,they pay,(generic Ibibio)
ekwak,they clap,(generic Ibibio)
isin,waist,(generic Ibibio)
isin,we reject,(generic Ibibio)
isin,we put,(generic Ibibio)
ikwo,song,(generic Ibibio)
ikwo ikwo,let us sing,(generic Ibibio)
ikwo,songs,(generic Ibibio)
iwa,cassava,(generic Ibibio)
iwa,we sacrifice,(generic Ibibio)
obu,dust,(generic Ibibio)
obu,crayfish,(generic Ibibio)
obu,decay,(generic Ibibio)
udok,hoe,(generic Ibibio)
udok,door,(generic Ibibio)
ubom,canoe,(generic Ibibio)
ubom,fat,(generic Ibibio)
ubom,breadth,(generic Ibibio)
unen,fowl,(generic Ibibio)
unen,right,(generic Ibibio)
bak,split,(generic Ibibio)
bak,slice,(generic Ibibio)
bak,beware,(generic Ibibio)
bak,be early,(generic Ibibio)
obot,creator,(generic Ibibio)
obot,hill,(generic Ibibio)
obot,mountain,(generic Ibibio)
obot,nature,(generic Ibibio)
fuud,blow,(generic Ibibio)
fuud,clear,(generic Ibibio)
fuud,fold,(generic Ibibio)
bop,build,(generic Ibibio)
bop,tie,(generic Ibibio)
bop,tight,(generic Ibibio)
kok,grind,(generic Ibibio)
kok,vomit,(generic Ibibio)
sin,put,(generic Ibibio)
sin,reject,(generic Ibibio)
yed,wash,(generic Ibibio)
yed,dissolve,(generic Ibibio)
tem,boil,(generic Ibibio)
tem,clear,(generic Ibibio)
tem,sit,(generic Ibibio)
edong,knee,(generic Ibibio)
edong,sheep,(generic Ibibio)
edong,put in,(generic Ibibio)
duok,pour,(generic Ibibio)
duok,lose,(generic Ibibio)
duok,throwaway,(generic Ibibio)
nsungikang,smoke,(generic Ibibio)
nsungikang,ship,(generic Ibibio)
mbiet,grass,(generic Ibibio)
mbiet,semblance,(generic Ibibio)
anye ami ado ntọọngọ ubon,this is the genealogya of,(generic Ibibio)
anye ami,this is,(generic Ibibio)
anye,that,(generic Ibibio)
anye,he,(generic Ibibio)
anye,her,(generic Ibibio)
anye,it,(generic Ibibio)
anye,this,(generic Ibibio)
anye ado,that is,(generic Ibibio)
ami,this,(generic Ibibio)
ando,that,(generic Ibibio)
adado,that is,(generic Ibibio)
ntongo,begining,(generic Ibibio)
ubon,genealogy,(generic Ibibio)
ubon,tribe,(generic Ibibio)
ubon,kindred,(generic Ibibio)
oruk,kindred,(Efik-Ibibio)
iman,kin,(generic Ibibio)
ayin,child,(generic Ibibio)
ke ini,when,(generic Ibibio)
ke ini,in time,(generic Ibibio)
kini,when,(Efik-Ibibio)
kini,in time,(Efik-Ibibio)
amaakemana ke,was birthed at,(generic Ibibio)
amaakemana ke,was birthed in,(generic Ibibio)
amaakemana,was birthed,(generic Ibibio)
ke,at,(generic Ibibio)
ke,in,(generic Ibibio)
ama,was,(generic Ibibio)
akemana,birthed,(generic Ibibio)
asiere,goodnight,(generic Ibibio)
esiere,goodnight,(Efik-Ibibio)
achiere,goodnight,(Annang-Ibibio)
inikied,once,(generic Ibibio)
do,there,(generic Ibibio)
kuwem,live,(generic Ibibio)
aduwem,alive,(generic Ibibio)
uyen,young,(generic Ibibio)
anying,name,(generic Ibibio)
akere,named,(generic Ibibio)
amo,his,(generic Ibibio)
amo,her,(generic Ibibio)
mmo,they,(generic Ibibio)
mmo,theirs,(generic Ibibio)
amo,she,(generic Ibibio)
amo,his,(generic Ibibio)
asongo,older,(generic Ibibio)
usong,old,(generic Ibibio)
ayineka awonwan,sister,(generic Ibibio)
ayineka awoden,brother,(generic Ibibio)
ette,father,(generic Ibibio)
ette,dad,(generic Ibibio)
eka,mother,(generic Ibibio)
eka,mom,(generic Ibibio)
ayineka eka awonwan,aunt,(generic Ibibio)
ayineka ette awonwan,aunt,(generic Ibibio)
ayineka eka awoden,uncle,(generic Ibibio)
ayineka ette awoden,uncle,(generic Ibibio)
ayinette ekammi awonwan,aunt,(generic Ibibio)
ayinette ettemmi awonwan,aunt,(generic Ibibio)
ayinette ekammi awoden,uncle,(generic Ibibio)
ayinette ettemmi awoden,uncle,(generic Ibibio)
adoko,told,(generic Ibibio)
andoko,told me,(generic Ibibio)
mbuk,story,(generic Ibibio)
mme mbuk,stories,(generic Ibibio)
abanga,about,(generic Ibibio)
ambanga,about me,(generic Ibibio)
ado,but,(generic Ibibio)
ado,it is,(generic Ibibio)
ado,its,(generic Ibibio)
mme,these,(generic Ibibio)
ado,are,(generic Ibibio)
mbuk,tale,(generic Ibibio)
mbukeset,history,(generic Ibibio)
eset,past,(generic Ibibio)
eset,history,(generic Ibibio)
akan,old,(generic Ibibio)
akani,old,(Efik-Ibibio)
nkan,olden,(generic Ibibio)
akan,victory,(generic Ibibio)
akan,victorious,(generic Ibibio)
akan,greater,(generic Ibibio)
ado,were,(generic Ibibio)
mme mbuk,tales,(generic Ibibio)
edongo,they are,(generic Ibibio)
akabado,actually,(generic Ibibio)
akabado,really,(generic Ibibio)
akpaniko,fact,(generic Ibibio)
akpaniko,truth,(generic Ibibio)
ata,real,(generic Ibibio)
ndion,so,(generic Ibibio)
ndien,so,(Efik-Ibibio)
edidem,king,(generic Ibibio)
idem,deity,(generic Ibibio)
ndem,deity,(generic Ibibio)
mmo,those,(generic Ibibio)
iba,two,(generic Ibibio)
iba,pants,(generic Ibibio)
afongukot,trousers,(generic Ibibio)
nduonduo,gown,(generic Ibibio)
mboho,set,(generic Ibibio)
mboho,gathering,(generic Ibibio)
mboho,congregation,(generic Ibibio)
owuo,out,(generic Ibibio)
awuo,walkout,(generic Ibibio)
awuo,walkaway,(generic Ibibio)
sanga,walk,(generic Ibibio)
isang,walk,(generic Ibibio)
isang,journey,(generic Ibibio)
isang,trip,(generic Ibibio)
awuo,left,(generic Ibibio)
nnasia,right,(generic Ibibio)
udom,right,(generic Ibibio)
ufien,left,(Efik-Ibibio)
ufion,left,(generic Ibibio)
ubok,hand,(generic Ibibio)
ukod,leg,(generic Ibibio)
ukot,leg,(Efik-Ibibio)
nnamisang,adventure,(generic Ibibio)
eka,they go,(generic Ibibio)
eka,they went,(generic Ibibio)
ebiat,destroy,(Efik-Ibibio)
ebiad,destroy,(generic Ibibio)
mbiara,spoilt,(generic Ibibio)
mbiara,destroyed,(generic Ibibio)
afid,every,(generic Ibibio)
ofri,every,(Efik-Ibibo)
afid,cutlass,(generic Ibibio)
afid,sword,(generic Ibibio)
ofuri,cutlass,(generic Ibibio)
ofuri,sword,(generic Ibibio)
okobo,machete,(generic Ibibio)
idiok,evil,(generic Ibibio)
aduwem mkpo,creature,(generic Ibibio)
esoboke,encounter,(generic Ibibio)
esobode,encounter,(Efik-Ibibio)
esoboke,meet,(generic Ibibio)
esobode,meet,(Efik-Ibibio)
esimeke,meet,(generic Ibibio)
sime,reach to,(generic Ibibio)
sim,reach,(generic Ibibio)
sim,arrive,(generic Ibibio)
asim,he reached,(generic Ibibio)
asim,she reached,(generic Ibibio)
esim,they reached,(generic Ibibio)
asim,it reached,(generic Ibibio)
ndion,eventually,(generic Ibibio)
ndien,eventually,(Efik-Ibibio)
kied,one,(generic Ibibio)
kiet,one,(Efik-Ibibio)
abo,got,(generic Ibibio)
abo,get,(generic Ibibio)
emum,caught,(generic Ibibio)
mum,catch,(generic Ibibio)
ta,chew,(generic Ibibio)
ta,eat,(generic Ibibio)
dia,eat,(generic Ibibio)
afidowo,everyone,(generic Ibibio)
etua,mourn,(generic Ibibio)
ntuanga,mourning,(generic Ibibio)
etuanga,they mourned,(generic Ibibio)
ado,that,(generic Ibibio)
death,mkpa,(generic Ibibio)
kpa,die,(generic Ibibio)
wod,kill,(generic Ibibio)
wot,kill,(Efik-Ibibio)
kaiso,continue,(generic Ibibio)
akaiso,he continued,(generic Ibibio)
akaiso,she continued,(generic Ibibio)
ekaiso,they continued,(generic Ibibio)
kpenge,slay,(generic Ibibio)
tutu,until,(generic Ibibio)
tutu,till,(generic Ibibio)
mkpong,tomorrow,(generic Ibibio)
mkpong,yesterday,(generic Ibibio)
ubak mkpong,next tomorrow,(generic Ibibio)
edem mkpong,day before yesterday,(generic Ibibio)
nko,too,(generic Ibibio)
akene,followed,(generic Ibibio)
kene,follow,(generic Ibibio)
adian,joined,(generic Ibibio)
dian,join,(generic Ibibio)
diana,join,(generic Ibibio)
diana,fellowship,(generic Ibibio)
diana,cooperate,(generic Ibibio)
mbiba,both,(generic Ibibio)
mmo mbiba,both are,(generic Ibibio)
tenge,rever,(generic Ibibio)
utenge,reverence,(generic Ibibio)
ndik,fear,(generic Ibibio)
ndik,awe,(generic Ibibio)
nte,as,(generic Ibibio)
nte,same,(generic Ibibio)
akwa,legend,(generic Ibibio)
akwakwa,legendary,(generic Ibibio)
mbonuko,heroes,(generic Ibibio)
owouko,heroe,(generic Ibibio)
afid,all,(generic Ibibio)
diongo,know,(generic Ibibio)
idiongo,sign,(generic Ibibio)
idiong,wizardry,(generic Ibibio)
diong,bless,(generic Ibibio)
edidiong,blessing,(generic Ibibio)
ediong,blessed,(generic Ibibio)
ifod,wizardry,(generic Ibibio)
ifod,witchcraftcy,(generic Ibibio)
uso,skill,(generic Ibibio)
mkpaidem,incredible,(generic Ibibio)
mkpaidem,marvel,(generic Ibibio)
nsioho,mockery,(generic Ibibio)
nyoh,mystery,(generic Ibibio)
utom,work,(generic Ibibio)
utom,act,(generic Ibibio)
utom,deeds,(generic Ibibio)
utom,job,(generic Ibibio)
sangasung,farewell,(generic Ibibio)
yaknka,goodbye,(generic Ibibio)
yakndi,see you later,(generic Ibibio)
mana,again,(generic Ibibio)
adidem,king,(generic Ibibio)
edibip,they asking,(generic Ibibio)
edibip,them asking,(generic Ibibio)
ndibip,me asking,(generic Ibibio)
adibip,him asking,(generic Ibibio)
adibip,she asking,(generic Ibibio)
bip,ask,(generic Ibibio)
mbime,question,(generic Ibibio)
ndubip,question,(generic Ibibio)
mbime,query,(generic Ibibio)
ndubip,query,(generic Ibibio)
ete,saying,(generic Ibibio)
ate,said,(generic Ibibio)
nte,i said,(generic Ibibio)
mbo,i am saying,(generic Ibibio)
mmo,where,(generic Ibibio)
anye,whom,(generic Ibibio)
amanake,birthed,(generic Ibibio)
aman,birth,(generic Ibibio)
nte,like,(generic Ibibio)
ate,like,(generic Ibibio)
nyin,we,(generic Ibibio)
imaikit,we saw,(generic Ibibio)
imikit,we see,(generic Ibibio)
imaikut,we saw,(Efik-Ibibio)
imikut,we see,(Efik-Ibibio)
kit,see,(generic Ibibio)
kut,see,(Efik-Ibibio)
ntantafiong,star,(generic Ibibio)
ntantafiong,twinkling star,(generic Ibibio)
ntanta,twinkling,(generic Ibibio)
afiong,moon,(generic Ibibio)
ntanta,star,(generic Ibibio)
ofiong,moon,(generic Ibibio)
usakkautin,east,(generic Ibibio)
usakkautin,sunrise,(generic Ibibio)
usakka,splitting,(generic Ibibio)
saka,splitted,(generic Ibibio)
sak,laugh,(generic Ibibio)
usakedet,milk teeth,(generic Ibibio)
siak,split,(generic Ibibio)
siak,split it,(generic Ibibio)
edet,tooth,(generic Ibibio)
edet,teeth,(generic Ibibio)
ndin,then,(generic Ibibio)
ndion,then,(generic Ibibio)
ndien,then,(Efik-Ibibio)
idi,we came,(generic Ibibio)
idi,we come,(generic Ibibio)
ndi,i come,(generic Ibibio)
ndi,i came,(generic Ibibio)
adikpono,to worship,(generic Ibibio)
ndikpono,to worship,(Efik-Ibibio)
kpono,worship,(generic Ibibio)
kpono,honour,(generic Ibibio)
kpono,respect,(generic Ibibio)
kpono,obeisance,(generic Ibibio)
ukpono,worship,(generic Ibibio)
ukpono,respect,(generic Ibibio)
ukpono,obeisance,(generic Ibibio)
afid,every,(generic Ibibio)
afid,all,(generic Ibibio)
ndin idi adikpono anye,and have come to worship him,(generic Ibibio)
ini,when,(generic Ibibio)
ini,time,(generic Ibibio)
amaafịna anye,he was disturbed,(generic Ibibio)
amaafịna anye,she was disturbed,(generic Ibibio)
amaafina,was disturbed,(generic Ibibio)
amaafina,was worried,(generic Ibibio)
amaafina,was bothered,(generic Ibibio)
amaafina,was troubled,(generic Ibibio)
afina,worrying,(generic Ibibio)
afina,troubling,(generic Ibibio)
afina,disturbing,(generic Ibibio)
fina,disturb,(generic Ibibio)
fina,bother,(generic Ibibio)
fina,worry,(generic Ibibio)
mfina,trouble,(generic Ibibio)
amaakekood,summoned all,(generic Ibibio)
amaakood,summoned,(generic Ibibio)
akood,called,(generic Ibibio)
kood,call,(generic Ibibio)
sin,put,(generic Ibibio)
uyo,voice,(generic Ibibio)
uyo,bush mango,(generic Ibibio)
uyo,pastery,(generic Ibibio)
uyo,bread,(generic Ibibio)
uyo,biscuit,(generic Ibibio)
aku,priest,(generic Ibibio)
oku,priest,(generic Ibibio)
efa,artist,(generic Ibibio)
efa,priest,(generic Ibibio)
mfa,artistry,(generic Ibibio)
ifa,priest,(generic Ibibio)
andikpeb,teacher,(generic Ibibio)
kpeb,teach,(generic Ibibio)
akpeb,student,(generic Ibibio)
akpeb,learner,(generic Ibibio)
akpebmkpo,tutor,(generic Ibibio)
akpeb,tutor,(generic Ibibio)
ibed,law,(generic Ibibio)
ibed,taboo,(generic Ibibio)
ibed,forbidden,(generic Ibibio)
ibon,gather,(generic Ibibio)
ibon,together,(generic Ibibio)
ibon,group,(generic Ibibio)
mbono,gathering,(generic Ibibio)
bono,grouping,(generic Ibibio)
mbono,meeting,(generic Ibibio)
abanga,concerning,(generic Ibibio)
ibanga,gossip,(generic Ibibio)
abanga,mentioning,(generic Ibibio)
ibanga,mentions,(generic Ibibio)
banga,mention,(generic Ibibio)
banga,refer,(generic Ibibio)
abanga,referring,(generic Ibibio)
itie,seat,(generic Ibibio)
itie,site,(generic Ibibio)
itie,state,(generic Ibibio)
itie,station,(generic Ibibio)
itie,point,(generic Ibibio)
akenaha,would have,(generic Ibibio)
akenaha,could have,(generic Ibibio)
naha,have,(generic Ibibio)
amana,birthed,(generic Ibibio)
do,there,(generic Ibibio)
do,done,(generic Ibibio)
mi,here,(generic Ibibio)
akem,enough,(generic Ibibio)
emaeboro,they did reply,(generic Ibibio)
emaeboro,they did respond,(generic Ibibio)
ema,they did,(generic Ibibio)
eboro,they reply,(generic Ibibio)
eboro,they respond,(generic Ibibio)
iboro,response,(generic Ibibio)
iboro,reply,(generic Ibibio)
iboro,answer,(generic Ibibio)
akewet,he wrote,(generic Ibibio)
akewet,she wrote,(generic Ibibio)
ekewet,they wrote,(generic Ibibio)
idoro,like that,(generic Ibibio)
idodo,like that,(generic Ibibio)
eke,they,(generic Ibibio)
ewet,writers,(generic Ibibio)
awet,writer,(generic Ibibio)
wet,write,(generic Ibibio)
nwed,book,(generic Ibibio)
nwet,i write,(generic Ibibio)
nwet,i wrote,(generic Ibibio)
se,see,(generic Ibibio)
se,watch,(generic Ibibio)
sese,see,(generic Ibibio)
kase,come see,(generic Ibibio)
kase,look at,(generic Ibibio)
se,look,(generic Ibibio)
sese,look,(generic Ibibio)
nse,i see,(generic Ibibio)
nse,i look,(generic Ibibio)
ase,he looks,(generic Ibibio)
ase,she looks,(generic Ibibio)
ese,they look,(generic Ibibio)
ese,testify,(generic Ibibio)
ese,testimony,(generic Ibibio)
ndin,then,(generic Ibibio)
ndiin,condiments,(generic Ibibio)
ndion,condiments,(generic Ibibio)
ifu,lazy,(generic Ibibio)
ifu,slothful,(generic Ibibio)
idiaha,not eating,(generic Ibibio)
isong,land,(generic Ibibio)
isong,ground,(generic Ibibio)
obot,land,(generic Ibibio)
mmong,water,(generic Ibibio)
idim,stream,(generic Ibibio)
edim,rain,(generic Ibibio)
inyang,river,(generic Ibibio)
akpa,wide,(generic Ibibio)
akpammong,large river,(generic Ibibio)
akpainyang,ocean,(generic Ibibio)
akpa,ocean,(generic Ibibio)
akpa,sea,(generic Ibibio)
akpammong,sea,(generic Ibibio)
oyobio,storm,(generic Ibibio)
afim,wind,(generic Ibibio)
dep,raining,(generic Ibibio)
ibiok,fount,(generic Ibibio)
ibiok,spring,(generic Ibibio)
usippe ukan,not smaller than,(generic Ibibio)
usippe,not smaller,(generic Ibibio)
usipnkan,smaller,(generic Ibibio)
usip,small,(generic Ibibio)
sip,small,(generic Ibibio)
isip,kernel,(generic Ibibio)
isip,seed,(generic Ibibio)
ndomoked,by no means,(generic Ibibio)
ndomoked,none,(generic Ibibio)
nteked,none,(generic Ibibio)
nteked,by no means,(generic Ibibio)
ndomo,tempting,(generic Ibibio)
domo,tempt,(generic Ibibio)
ndomo,examining,(generic Ibibio)
domo,examine,(generic Ibibio)
udomo,examination,(generic Ibibio)
udomo,test,(generic Ibibio)
ked,one,(generic Ibibio)
keed,one,(generic Ibibio)
atu,among,(generic Ibibio)
otu,among,(generic Ibibio)
sia,for,(generic Ibibio)
ntak,because,(generic Ibibio)
ntak,cause,(generic Ibibio)
ntak,reason,(generic Ibibio)
andikara,ruler,(generic Ibibio)
adito,come from,(generic Ibibio)
adito,emanate,(generic Ibibio)
adido,will be,(generic Ibibio)
adido,shall be,(generic Ibibio)
adido,subsequent,(generic Ibibio)
adido,subsequently,(generic Ibibio)
andiikpeme,protector,(generic Ibibio)
andikpeme,protector,(generic Ibibio)
andikpeme,guide,(generic Ibibio)
kpeme,guide,(generic Ibibio)
kpeme,direct,(generic Ibibio)
wot,direct,(generic Ibibio)
ukpeme,protect,(generic Ibibio)
ikod,bush,(generic Ibibio)
ikod,people,(generic Ibibio)
ikot,bush,(generic Ibibio)
ikot,people,(Efik-Ibibio)
akood,called,(generic Ibibio)
kood,call,(generic Ibibio)
kod,call,(generic Ibibio)
ikpo,big,(generic Ibibio)
ikpoawo,elders,(generic Ibibio)
ikpowo,elders,(generic Ibibio)
ekambawo,elder,(generic Ibibio)
ekambaowo,elder,(generic Ibibio)
oniong,wisdom,(generic Ibibio)
ifiok,knowledge,(generic Ibibio)
ikike,understanding,(generic Ibibio)
ifiok,wisdom,(generic Ibibio)
ndedibe,hideous,(generic Ibibio)
ndedibe,private,(generic Ibibio)
dibe,hide,(generic Ibibio)
dib,hid,(generic Ibibio)
anyung,therefore,(generic Ibibio)
ikaiya,you all go,(generic Ibibio)
ka,go,(generic Ibibio)
ikitim,deligently,(generic Ibibio)
itim,deligent,(generic Ibibio)
tim,arrange,(generic Ibibio)
tim,set,(generic Ibibio)
adiongo,learned,(generic Ibibio)
diongo,know,(generic Ibibio)
ato,from,(generic Ibibio)
ammo,them,(generic Ibibio)
ukem,same,(generic Ibibio)
ukem,exact,(generic Ibibio)
ukeme,ability,(generic Ibibio)
akewuoho ada,came out to stand,(generic Ibibio)
akewuoho,appeared,(generic Ibibio)
ada,stand,(generic Ibibio)
ada,barren,(generic Ibibio)
ake,which,(generic Ibibio)
akewuoho,which appeared,(generic Ibibio)
ayin,child,(generic Ibibio)
ado,that,(generic Ibibio)
imaikit,when seen,(generic Ibibio)
imaikit,if seen,(generic Ibibio)
inam,endeavour,(generic Ibibio)
inam,let me,(generic Ibibio)
nam,do,(generic Ibibio)
inam,let do,(generic Ibibio)
no,for,(generic Ibibio)
nko,too,(generic Ibibio)
ndiiyung,then,(generic Ibibio)
nke,parable,(generic Ibibio)
nke,did,(generic Ibibio)
emaekekop,they having heard,(generic Ibibio)
ema,they,(generic Ibibio)
ekekop,having heard,(generic Ibibio)
nkekop,did heard,(generic Ibibio)
nkekop,do hear,(generic Ibibio)
kop,heard,(generic Ibibio)
anwanga,understand,(generic Ibibio)
se,what,(generic Ibibio)
aketang,said,(generic Ibibio)
tang,say,(generic Ibibio)
tang,talk,(generic Ibibio)
ima,done,(generic Ibibio)
emaeka,they went,(generic Ibibio)
emaeka,they left,(generic Ibibio)
eka,went,(generic Ibibio)
wo,leave,(generic Ibibio)
woro,leave,(Efik-Ibibio)
sanga,walking,(generic Ibibio)
sangko,keep walking,(generic Ibibio)
sangko,keep going,(generic Ibibio)
isang,walk,(generic Ibibio)
wo,out,(generic Ibibio)
mmewo,i am leaving,(generic Ibibio)
